timestamp,tipo,nodo_id,temperatura,humedad,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18
2026-06-02T20:14:13.726230,p,1,1,22.33582,66.20579,0,5626,0,0,0,0,0,0,0,0,0,4446,7784,0,0,0,0,0
2026-06-02T20:14:59.942371,p,1,1,22.45007,66.20683,0,5638,0,0,0,0,0,0,0,0,0,4298,7490,0,0,0,0,0
2026-06-02T20:15:46.147818,p,1,1,22.55001,66.18661,0,5616,0,0,0,0,0,0,0,0,0,4316,7524,0,0,0,0,0
2026-06-02T20:16:32.335285,p,1,1,22.58568,66.21857,0,5496,0,0,0,0,0,0,0,0,0,4174,7570,0,0,0,0,0
2026-06-02T20:17:18.535227,p,1,1,22.55325,66.19778,0,5660,0,0,0,0,0,0,0,0,0,4358,7536,0,0,0,0,0
2026-06-02T20:18:04.756484,p,1,1,22.55611,66.23335,0,5728,0,0,0,0,0,0,0,0,0,4422,7588,0,0,0,0,0
2026-06-02T20:18:50.975957,p,1,1,22.55287,66.21704,0,5700,0,0,0,0,0,0,0,0,0,4342,7598,0,0,0,0,0
2026-06-02T20:19:37.173168,p,1,1,22.57671,66.21017,0,5580,0,0,0,0,0,0,0,0,0,4226,7566,0,0,0,0,0
2026-06-02T20:20:23.403032,p,1,1,22.58339,66.19759,0,5574,0,0,0,0,0,0,0,0,0,4282,7630,0,0,0,0,0
2026-06-02T20:21:09.616026,p,1,1,22.56737,66.20407,0,5584,0,0,0,0,0,0,0,0,0,4292,7592,0,0,0,0,0
2026-06-02T20:21:55.829671,p,1,1,22.49584,66.20818,0,5672,0,0,0,0,0,0,0,0,0,4338,7414,0,0,0,0,0
2026-06-02T20:22:42.066489,p,1,1,22.46933,66.19101,0,5730,0,0,0,0,0,0,0,0,0,4404,7386,0,0,0,0,0
2026-06-02T20:23:28.275473,p,1,1,22.44148,66.18595,0,5720,0,0,0,0,0,0,0,0,0,4410,7402,0,0,0,0,0
2026-06-02T20:24:14.478081,p,1,1,22.43347,66.19482,0,5634,0,0,0,0,0,0,0,0,0,4296,7474,0,0,0,0,0
2026-06-02T20:25:00.694183,p,1,1,22.402,66.18814,0,5602,0,0,0,0,0,0,0,0,0,4330,7516,0,0,0,0,0
2026-06-02T20:25:46.897860,p,1,1,22.41764,66.16707,0,5726,0,0,0,0,0,0,0,0,0,4386,7492,0,0,0,0,0
2026-06-02T20:26:33.129126,p,1,1,22.39113,66.15028,0,5726,0,0,0,0,0,0,0,0,0,4394,7520,0,0,0,0,0
2026-06-02T20:27:19.368900,p,1,1,22.38102,66.19244,0,5698,0,0,0,0,0,0,0,0,0,4362,7500,0,0,0,0,0
2026-06-02T20:28:05.554765,p,1,1,22.39056,66.16879,0,5596,0,0,0,0,0,0,0,0,0,4272,7476,0,0,0,0,0
2026-06-02T20:28:51.789785,p,1,1,22.402,66.16945,0,5610,0,0,0,0,0,0,0,0,0,4260,7544,0,0,0,0,0
2026-06-02T20:29:37.993658,p,1,1,22.36557,66.16554,0,5590,0,0,0,0,0,0,0,0,0,4250,7500,0,0,0,0,0
2026-06-02T20:30:24.190897,p,1,1,22.36691,66.15706,0,5614,0,0,0,0,0,0,0,0,0,4290,7502,0,0,0,0,0
2026-06-02T20:31:10.416991,p,1,1,22.35851,66.14685,0,5602,0,0,0,0,0,0,0,0,0,4282,7528,0,0,0,0,0
2026-06-02T20:31:56.635091,p,1,1,22.36404,66.13397,0,5570,0,0,0,0,0,0,0,0,0,4212,7556,0,0,0,0,0
2026-06-02T20:32:42.844513,p,1,1,22.35413,66.13036,0,5636,0,0,0,0,0,0,0,0,0,4398,7474,0,0,0,0,0
2026-06-02T20:33:29.052932,p,1,1,22.35317,66.10498,0,5580,0,0,0,0,0,0,0,0,0,4284,7506,0,0,0,0,0
2026-06-02T20:34:15.251816,p,1,1,22.36233,66.13493,0,5540,0,0,0,0,0,0,0,0,0,4248,7482,0,0,0,0,0
2026-06-02T20:35:01.474389,p,1,1,22.365,66.10584,0,5484,0,0,0,0,0,0,0,0,0,4382,7444,0,0,0,0,0
2026-06-02T20:35:47.689576,p,1,1,22.33162,66.13026,0,5690,0,0,0,0,0,0,0,0,0,4398,7470,0,0,0,0,0
2026-06-02T20:36:33.925257,p,1,1,22.35279,66.11452,0,5730,0,0,0,0,0,0,0,0,0,4460,7568,0,0,0,0,0
2026-06-02T20:37:20.157976,p,1,1,22.37835,66.12138,0,5690,0,0,0,0,0,0,0,0,0,4374,7568,0,0,0,0,0
2026-06-02T20:38:06.359902,p,1,1,22.40334,66.11967,0,5660,0,0,0,0,0,0,0,0,0,4354,7562,0,0,0,0,0
2026-06-02T20:38:52.576875,p,1,1,22.39647,66.12167,0,5570,0,0,0,0,0,0,0,0,0,4272,7506,0,0,0,0,0
2026-06-02T20:39:38.814679,p,1,1,22.51816,66.06998,0,5656,0,0,0,0,0,0,0,0,0,4324,7524,0,0,0,0,0
2026-06-02T20:40:25.047184,p,1,1,22.55592,66.09421,0,5638,0,0,0,0,0,0,0,0,0,4340,7512,0,0,0,0,0
2026-06-02T20:41:11.261651,p,1,1,22.57748,66.08391,0,5588,0,0,0,0,0,0,0,0,0,4332,7534,0,0,0,0,0
2026-06-02T20:41:57.474097,p,1,1,22.61925,66.08334,0,5678,0,0,0,0,0,0,0,0,0,4346,7496,0,0,0,0,0
2026-06-02T20:42:43.681627,p,1,1,22.66483,66.0634,0,5732,0,0,0,0,0,0,0,0,0,4444,7510,0,0,0,0,0
